measured_at,actor,created,users,users_30d,runs,public_runs_30d,reviews,rating,bookmarks,free_price_per_job,free_price_per_1000,listed,controls_pass
2026-09-03T06:27:10.285Z,fantastic-jobs/career-site-job-listing-api,2025-06-14T13:29:52.619Z,6678,1457,935066,120640,11,4.75,101,0.012,12,true,true
2026-09-03T06:27:10.285Z,fantastic-jobs/career-site-job-listing-feed,2025-05-28T11:07:35.884Z,1269,222,221101,10048,6,4.85,21,0.0025,2.5,true,true
2026-09-03T06:27:10.285Z,fantastic-jobs/workday-jobs-api,2025-10-15T11:26:50.625Z,618,121,7250,1750,1,5,5,0.002,2,true,true
2026-09-03T06:27:10.285Z,fantastic-jobs/jobs-scraper,2026-05-07T08:24:31.820Z,111,20,3803,576,0,0,0,0.0022,2.2,true,true
2026-09-03T06:27:10.285Z,memo23/career-site-ats-jobs-api,2026-06-21T15:14:06.616Z,99,54,755,533,4,5,1,0.004,4,true,true
2026-09-03T06:27:10.285Z,scrapepilot/career-page-job-scraper----greenhouse-lever-any-ats,2026-03-28T15:42:52.615Z,31,2,249,55,0,0,0,,,false,true
2026-09-03T06:27:10.285Z,themineworks/ats-jobs,2026-06-08T11:01:05.085Z,6,4,117,7,0,0,0,0.00225,2.25,true,true
2026-09-03T06:27:10.285Z,fetchcraft/ats-job-aggregator,2026-05-30T23:30:14.893Z,6,1,222,72,0,0,0,0.0009,0.9,false,true
2026-09-03T06:27:10.285Z,dami_studio/multi-ats-jobs-scraper,2026-06-12T04:49:01.765Z,4,0,197,29,2,5,0,0.003,3,true,true
2026-09-03T06:27:10.285Z,studious_allergy_mig/ats-jobs-scraper,2026-07-29T19:43:45.258Z,3,2,57,32,0,0,0,0.002,2,true,true
2026-09-03T06:27:10.285Z,tokyo-cat/ats-job-feed,2026-08-26T09:00:31.710Z,3,2,14,9,0,0,0,,,true,true
2026-09-03T06:27:10.285Z,sharp_malachite/open-ats-jobs-feed,2026-09-02T22:13:25.643Z,2,1,28,1,0,0,0,0.0015,1.5,false,true
2026-09-03T06:27:10.285Z,bikram07/multi-ats-jobs-feed,2026-06-19T00:52:21.148Z,1,1,86,29,0,0,0,,,true,true
