read_at,searches_run,searches_hit,category_pages_run,category_pages_hit,controls_run,controls_found,listed,store_page_http,indexed_auth,anon_withheld,newest_run,newest_anon_served,listing_stale
2026-09-03T06:13:49.031Z,12,0,9,0,6,6,no,200,,,,,
2026-09-03T06:18:41.294Z,12,0,9,0,6,6,no,200,,,,,
2026-09-03T06:18:49.593Z,12,0,9,0,6,6,no,200,,,,,
2026-09-03T06:26:20.790Z,12,0,9,0,6,6,no,200,yes,yes,7,7,
2026-09-03T06:30:20.007Z,12,0,9,0,6,6,no,200,yes,yes,7,7,
2026-09-03T06:46:53.167Z,12,0,9,0,6,6,no,200,yes,yes,6,6,
2026-09-03T06:59:46.887Z,12,0,9,0,6,6,no,200,yes,yes,7,7,
2026-09-03T07:12:49.158Z,12,0,9,0,6,6,no,200,yes,yes,8,8,
2026-09-03T07:24:03.325Z,12,0,9,0,6,6,no,200,yes,yes,7,7,
2026-09-03T07:41:45.077Z,12,0,9,0,6,6,no,200,yes,yes,9,9,
2026-09-03T07:50:27.193Z,12,0,9,0,6,6,no,200,yes,yes,10,10,
2026-09-03T08:04:44.832Z,12,0,9,0,6,6,no,200,yes,yes,11,11,
2026-09-03T08:23:00.245Z,12,0,9,0,6,6,no,200,yes,yes,10,10,
2026-09-03T08:33:54.878Z,12,0,9,0,6,6,no,200,yes,yes,9,9,
2026-09-03T08:53:05.571Z,12,0,9,0,6,6,no,200,yes,yes,9,9,
2026-09-03T09:05:27.504Z,12,0,9,0,6,6,no,200,yes,yes,9,9,
2026-09-03T09:06:23.373Z,12,0,9,0,6,6,no,200,yes,yes,9,9,
