provider,token,open_postings,industry_family,matched_key,title_family,checked
greenhouse,veterinaryemergencygroupst,1130,healthcare,veterinar,healthcare,agrees
greenhouse,westernveterinarypartnersllc,475,healthcare,veterinar,healthcare,agrees
greenhouse,veterinarypracticepartners,290,healthcare,veterinar,healthcare,agrees
greenhouse,ennoblecare,202,healthcare,care,healthcare,agrees
greenhouse,lakefieldveterinarygroup,174,healthcare,veterinar,healthcare,agrees
greenhouse,wellthy-care-network,156,healthcare,care,healthcare,agrees
greenhouse,vailclinicincdbavailhealthhospital,130,healthcare,hospital,healthcare,agrees
greenhouse,missionhealthcare,121,healthcare,care,healthcare,agrees
greenhouse,freedomcare,111,healthcare,care,corporate,disagrees
greenhouse,bondvet,102,healthcare,vet,healthcare,agrees
greenhouse,successacademycharterschool,98,education,charterschool,corporate,disagrees
greenhouse,abclegalservices,96,corporate,legal,retail_food,disagrees
greenhouse,elitedentalpartnersllc,95,healthcare,dental,healthcare,agrees
greenhouse,skilledwoundcare,91,healthcare,care,healthcare,agrees
lever,pointclickcare,88,healthcare,care,,unchecked
greenhouse,dental365,75,healthcare,dental,healthcare,agrees
lever,medcarepediatric,71,healthcare,pediatric,healthcare,agrees
greenhouse,agilityrobotics,69,engineering,robotics,engineering,agrees
greenhouse,pediatricsplus,65,healthcare,pediatric,healthcare,agrees
greenhouse,pomelocare,60,healthcare,care,corporate,disagrees
greenhouse,cityvetinc,58,healthcare,vet,healthcare,agrees
greenhouse,kyocare,56,healthcare,care,healthcare,agrees
greenhouse,torcrobotics,54,engineering,robotics,engineering,agrees
ashby,reliable-robotics,54,engineering,robotics,,unchecked
lever,guidestareldercare,53,healthcare,care,,unchecked
greenhouse,wovencare,52,healthcare,care,healthcare,agrees
greenhouse,optimalcare,49,healthcare,care,healthcare,agrees
greenhouse,zetacharterschools,48,education,charterschool,education,agrees
ashby,small-door-veterinary,48,healthcare,veterinar,,unchecked
greenhouse,arxroboticsgmbh,47,engineering,robotics,engineering,agrees
lever,bloomwellcare,47,healthcare,care,,unchecked
greenhouse,meditelecare,46,healthcare,care,healthcare,agrees
greenhouse,centriahealthcare,41,healthcare,care,healthcare,agrees
greenhouse,pathrobotics,41,engineering,robotics,engineering,agrees
greenhouse,hopscotchprimarycare,40,healthcare,care,healthcare,agrees
greenhouse,ayahealthcare,39,healthcare,care,healthcare,agrees
greenhouse,thevascularcaregroup,39,healthcare,care,healthcare,agrees
greenhouse,careaccess,37,healthcare,care,corporate,disagrees
greenhouse,globalhealthcareexchangeinc,37,healthcare,care,corporate,disagrees
ashby,serverobotics,36,engineering,robotics,,unchecked
greenhouse,nimblerobotics,35,engineering,robotics,engineering,agrees
greenhouse,choosebettercare,34,healthcare,care,healthcare,agrees
greenhouse,clearviewhealthcarepartners,33,healthcare,care,corporate,disagrees
ashby,bedrock-robotics,33,engineering,robotics,,unchecked
lever,carewest,33,healthcare,care,,unchecked
greenhouse,ascendhealthcare,29,healthcare,care,healthcare,agrees
ashby,mindrobotics,29,engineering,robotics,,unchecked
ashby,dyna-robotics,28,engineering,robotics,,unchecked
greenhouse,imaginepediatrics,27,healthcare,pediatric,healthcare,agrees
lever,challengecharterschools,26,education,charterschool,education,agrees
ashby,array-behavioral-care,25,healthcare,care,,unchecked
lever,solutuslegal,25,corporate,legal,corporate,agrees
greenhouse,rightwayhealthcare,24,healthcare,care,healthcare,agrees
lever,superiorexecutiveandlegalrecruiting,24,corporate,legal,corporate,agrees
greenhouse,caredxinc,23,healthcare,care,healthcare,agrees
greenhouse,fronteracare,23,healthcare,care,,unchecked
greenhouse,intrinsicrobotics,23,engineering,robotics,engineering,agrees
ashby,abby-care,22,healthcare,care,,unchecked
ashby,claritypediatrics,22,healthcare,pediatric,healthcare,agrees
ashby,foundry-robotics,20,engineering,robotics,,unchecked
ashby,gecko-robotics,20,engineering,robotics,,unchecked
greenhouse,alayacare,19,healthcare,care,,unchecked
greenhouse,careem,19,healthcare,care,,unchecked
greenhouse,cartahealthcare,18,healthcare,care,healthcare,agrees
greenhouse,obrienveterinarygroup,18,healthcare,veterinar,healthcare,agrees
greenhouse,bouldercare,17,healthcare,care,healthcare,agrees
greenhouse,brillapubliccharterschools,17,education,charterschool,education,agrees
greenhouse,carbonrobotics,17,engineering,robotics,engineering,agrees
greenhouse,chestercommunitycharterschool,17,education,charterschool,education,agrees
greenhouse,dentalook,17,healthcare,dental,healthcare,agrees
greenhouse,mavenrobotics,17,engineering,robotics,engineering,agrees
greenhouse,procaresolutions,17,healthcare,care,,unchecked
ashby,ambiencehealthcare,17,healthcare,care,,unchecked
ashby,annaautismcare,17,healthcare,care,,unchecked
greenhouse,employerdirecthealthcare,16,healthcare,care,corporate,disagrees
greenhouse,nadiacare,16,healthcare,care,,unchecked
greenhouse,diligentrobotics,15,engineering,robotics,healthcare,disagrees
greenhouse,respirehomecareservices,15,healthcare,care,,unchecked
ashby,charge-robotics,15,engineering,robotics,,unchecked
ashby,graymatter-robotics,15,engineering,robotics,,unchecked
greenhouse,abricareinc,14,healthcare,care,,unchecked
greenhouse,careportalinc,14,healthcare,care,,unchecked
greenhouse,legalservicesnyc,14,corporate,legal,corporate,agrees
greenhouse,sandstonecare,14,healthcare,care,,unchecked
lever,promiserobotics,13,engineering,robotics,,unchecked
greenhouse,generallegalllp,12,corporate,legal,corporate,agrees
greenhouse,junoveterinary,12,healthcare,veterinar,healthcare,agrees
ashby,sagecare,12,healthcare,care,,unchecked
greenhouse,educare,11,healthcare,care,,unchecked
greenhouse,seoulrobotics,11,engineering,robotics,engineering,agrees
ashby,corvus-robotics,11,engineering,robotics,,unchecked
greenhouse,tailorcare2023,10,healthcare,care,,unchecked
ashby,finch-legal,10,corporate,legal,corporate,agrees
ashby,rogerhealthcare,10,healthcare,care,,unchecked
lever,cobaltrobotics,10,engineering,robotics,,unchecked
lever,gravisrobotics,10,engineering,robotics,,unchecked
greenhouse,beamhealthcare,9,healthcare,care,healthcare,agrees
greenhouse,pacificlegalfoundation,9,corporate,legal,corporate,agrees
ashby,protocol-cares,9,healthcare,care,,unchecked
greenhouse,brookecharterschools,8,education,charterschool,education,agrees
greenhouse,fortrobotics,8,engineering,robotics,engineering,agrees
greenhouse,locusrobotics,8,engineering,robotics,support,disagrees
greenhouse,paulaschoiceskincare,8,healthcare,care,,unchecked
ashby,blueberrypediatrics,8,healthcare,pediatric,healthcare,agrees
greenhouse,ambercharterschools,7,education,charterschool,education,agrees
greenhouse,carefeed,7,healthcare,care,,unchecked
greenhouse,ounceofcare,7,healthcare,care,,unchecked
greenhouse,undercontrolroboticsinc,7,engineering,robotics,,unchecked
greenhouse,viamrobotics,7,engineering,robotics,,unchecked
ashby,built-robotics,7,engineering,robotics,,unchecked
ashby,ekarobotics,7,engineering,robotics,,unchecked
ashby,remedyrobotics,7,engineering,robotics,,unchecked
greenhouse,bubbleskincare,6,healthcare,care,,unchecked
greenhouse,bullischarterschool,6,education,charterschool,education,agrees
greenhouse,nationalallianceforpubliccharterschools,6,education,charterschool,corporate,disagrees
greenhouse,stemhealthcare,6,healthcare,care,corporate,disagrees
ashby,gridcare,6,healthcare,care,,unchecked
ashby,pivotrobotics,6,engineering,robotics,,unchecked
ashby,reflexrobotics,6,engineering,robotics,,unchecked
ashby,trener-robotics,6,engineering,robotics,,unchecked
lever,ambirobotics,6,engineering,robotics,,unchecked
greenhouse,arnoldveterinaryhospital,5,healthcare,veterinar,healthcare,agrees
greenhouse,nonantumveterinaryclinic,5,healthcare,veterinar,healthcare,agrees
greenhouse,turncare,5,healthcare,care,,unchecked
ashby,legal-500,5,corporate,legal,sales_marketing,disagrees
lever,moka.care,5,healthcare,care,,unchecked
greenhouse,animalcarecenterprinceton,4,healthcare,care,,unchecked
greenhouse,bolingbrookvet,4,healthcare,vet,healthcare,agrees
greenhouse,canopycare,4,healthcare,care,,unchecked
greenhouse,chessielanevet,4,healthcare,vet,healthcare,agrees
greenhouse,dentalxchange,4,healthcare,dental,corporate,disagrees
greenhouse,florencehealthcare,4,healthcare,care,,unchecked
greenhouse,lansingpetvet,4,healthcare,vet,healthcare,agrees
greenhouse,ludorobotics,4,engineering,robotics,,unchecked
greenhouse,remedyhomehealthcare,4,healthcare,care,,unchecked
greenhouse,sensiblecare,4,healthcare,care,,unchecked
greenhouse,spotsylvaniaanimalhospital,4,healthcare,hospital,healthcare,agrees
ashby,cosmic-robotics,4,engineering,robotics,,unchecked
lever,computercare,4,healthcare,care,,unchecked
lever,relayrobotics.com,4,engineering,robotics,,unchecked
lever,torchdental,4,healthcare,dental,sales_marketing,disagrees
greenhouse,30thstreetanimalhospital,3,healthcare,hospital,healthcare,agrees
greenhouse,bevlabvet,3,healthcare,vet,healthcare,agrees
greenhouse,brandermillanimalhospital,3,healthcare,hospital,healthcare,agrees
greenhouse,buckeystownveterinaryhospital,3,healthcare,veterinar,healthcare,agrees
greenhouse,forpawsvet,3,healthcare,vet,healthcare,agrees
greenhouse,lakeforestanimalhospital,3,healthcare,hospital,healthcare,agrees
greenhouse,oncoverycare,3,healthcare,care,,unchecked
greenhouse,scoutveterinarycare,3,healthcare,veterinar,healthcare,agrees
greenhouse,sifthealthcare,3,healthcare,care,,unchecked
greenhouse,tellerparkvet,3,healthcare,vet,healthcare,agrees
greenhouse,tri-countyveterinaryclinic,3,healthcare,veterinar,healthcare,agrees
greenhouse,understoodcare,3,healthcare,care,,unchecked
greenhouse,wheatlanddentalcentre,3,healthcare,dental,healthcare,agrees
ashby,careway,3,healthcare,care,,unchecked
lever,allears-vet,3,healthcare,vet,,unchecked
greenhouse,allenanimalhospital,2,healthcare,hospital,healthcare,agrees
greenhouse,animalcarecenterpearisburg,2,healthcare,care,,unchecked
greenhouse,beltsvilleveterinaryhospital,2,healthcare,veterinar,healthcare,agrees
greenhouse,buckcreekvet,2,healthcare,vet,healthcare,agrees
greenhouse,cerulacare,2,healthcare,care,,unchecked
greenhouse,charterschoolgrowthfund,2,education,charterschool,corporate,disagrees
greenhouse,communityanimalhospital,2,healthcare,hospital,healthcare,agrees
greenhouse,goodai-swarm-robotics,2,engineering,robotics,,unchecked
greenhouse,grandviewvet,2,healthcare,vet,healthcare,agrees
greenhouse,lancasterveterinaryspecialties,2,healthcare,veterinar,healthcare,agrees
greenhouse,morgansideveterinaryclinic,2,healthcare,veterinar,healthcare,agrees
greenhouse,mountairyveterinaryassociates,2,healthcare,veterinar,healthcare,agrees
greenhouse,northedgedental,2,healthcare,dental,healthcare,agrees
greenhouse,paloverdeanimalhospital,2,healthcare,hospital,healthcare,agrees
greenhouse,robinsonhospitalforanimals,2,healthcare,hospital,healthcare,agrees
greenhouse,ruggedrobotics,2,engineering,robotics,,unchecked
greenhouse,seymourveterinaryclinic,2,healthcare,veterinar,healthcare,agrees
greenhouse,sherbournedentalassociates,2,healthcare,dental,healthcare,agrees
greenhouse,urgentcareforchildren,2,healthcare,care,,unchecked
greenhouse,valleyhospital,2,healthcare,hospital,healthcare,agrees
greenhouse,veterinaryemergencyservices,2,healthcare,veterinar,healthcare,agrees
greenhouse,woodlakeanimalhospital,2,healthcare,hospital,healthcare,agrees
lever,dexcarehealth,2,healthcare,care,,unchecked
lever,healthcare,2,healthcare,care,corporate,disagrees
greenhouse,bathurstdundasdentalclinic,1,healthcare,dental,healthcare,agrees
greenhouse,baysidefamilydental,1,healthcare,dental,healthcare,agrees
greenhouse,biglickveterinaryservices,1,healthcare,veterinar,,unchecked
greenhouse,colonialanimalhospital,1,healthcare,hospital,healthcare,agrees
greenhouse,colonialgatewayveterinarycenter,1,healthcare,veterinar,,unchecked
greenhouse,columbiacityvet,1,healthcare,vet,healthcare,agrees
greenhouse,drdansanimalhospital,1,healthcare,hospital,healthcare,agrees
greenhouse,eldersburgveterinaryhospital,1,healthcare,veterinar,,unchecked
greenhouse,goldencustomercare,1,healthcare,care,,unchecked
greenhouse,phoenixroadvet,1,healthcare,vet,healthcare,agrees
greenhouse,sandstonecareboulder,1,healthcare,care,,unchecked
greenhouse,sangareevet,1,healthcare,vet,,unchecked
greenhouse,territorialdentalclinic,1,healthcare,dental,healthcare,agrees
ashby,careswift,1,healthcare,care,,unchecked
