provider,token,titles_read,resolved_titles,inferred_family,confidence,generic_titles,generic_assigned,not_job_share,stratum
greenhouse,svetness,4981,4981,fitness_wellness,0.998,0,0,0,head
greenhouse,prolificacademicltd,3706,2788,ai_gig_work,0.897,65,65,0,head
lever,boxlunch,3653,3653,,0.589,0,0,0,head
ashby,bjakcareer,3084,2541,,0.534,407,0,0,head
greenhouse,eosfitness,2689,2558,,0.534,88,0,0,head
greenhouse,pulse,2649,2496,healthcare,0.972,7,7,0,head
greenhouse,bayada,2577,2460,healthcare,0.967,34,34,0.019,head
greenhouse,spacex,2281,2013,,0.412,188,0,0,head
greenhouse,andurilindustries,2208,1895,,0.531,187,0,0,head
greenhouse,carvana,1754,1195,,0.407,390,0,0,head
lever,globalelitecareers,1752,273,,0.777,97,0,0.788,head
greenhouse,liquidpersonnel,1586,1292,healthcare,0.996,156,156,0,head
lever,cgsfederal,1427,1190,,0.637,186,0,0,head
lever,lifestance,1386,1379,healthcare,0.933,0,0,0,head
greenhouse,speechify,1317,1206,engineering,1,1,1,0,head
greenhouse,urpt,1215,1206,healthcare,0.988,3,3,0,head
greenhouse,centriaautism,1189,1168,skilled_trades,0.847,5,5,0,head
lever,insomniacookies,1178,1168,,0.629,10,0,0,head
greenhouse,privateequityinsights,1159,689,,0.478,220,0,0.097,head
greenhouse,veterinaryemergencygroupst,1130,1097,healthcare,0.934,23,23,0,head
greenhouse,aloyoga,1108,793,,0.569,314,0,0,head
greenhouse,wppmedia,1073,396,,0.457,381,0,0,head
greenhouse,equipmentsharecom,967,883,,0.544,68,0,0,head
greenhouse,blueskytelepsych,945,945,healthcare,1,0,0,0,head
greenhouse,databricks,859,800,,0.67,30,0,0,head
lever,paytmpayments,846,283,,0.594,557,0,0,head
greenhouse,agency,821,815,ai_gig_work,0.914,2,2,0,head
greenhouse,plscareers,786,773,,0.618,12,0,0,head
ashby,openai,770,589,,0.577,81,0,0,head
lever,gopuff,763,463,retail_food,0.855,299,299,0,head
greenhouse,capco,754,487,,0.47,32,0,0,head
greenhouse,ouihelp,697,107,product_design,0.981,5,5,0,head
greenhouse,jdsportsfr,693,17,retail_food,0.706,0,0,0,head
greenhouse,coupang,682,457,,0.411,36,0,0,head
greenhouse,michelscorporation,650,531,,0.39,69,0,0,head
greenhouse,accenturefederalservices,642,530,,0.594,81,0,0,head
