provider,token,open_postings,board_url,api_url
breezy,american-logistics-authority,2760,https://american-logistics-authority.breezy.hr/,"https://american-logistics-authority.breezy.hr/json"
breezy,nexthire,2462,https://nexthire.breezy.hr/,"https://nexthire.breezy.hr/json"
breezy,showami,815,https://showami.breezy.hr/,"https://showami.breezy.hr/json"
breezy,optimindhealth,624,https://optimindhealth.breezy.hr/,"https://optimindhealth.breezy.hr/json"
breezy,dermafix-spa,623,https://dermafix-spa.breezy.hr/,"https://dermafix-spa.breezy.hr/json"
breezy,sage-haus,528,https://sage-haus.breezy.hr/,"https://sage-haus.breezy.hr/json"
breezy,alchemy-financial-group,490,https://alchemy-financial-group.breezy.hr/,"https://alchemy-financial-group.breezy.hr/json"
breezy,thirdchannel-inc,487,https://thirdchannel-inc.breezy.hr/,"https://thirdchannel-inc.breezy.hr/json"
breezy,kimmel-associates,472,https://kimmel-associates.breezy.hr/,"https://kimmel-associates.breezy.hr/json"
breezy,srs-merchandising,456,https://srs-merchandising.breezy.hr/,"https://srs-merchandising.breezy.hr/json"
breezy,kare,425,https://kare.breezy.hr/,"https://kare.breezy.hr/json"
breezy,home-genius-exteriors,405,https://home-genius-exteriors.breezy.hr/,"https://home-genius-exteriors.breezy.hr/json"
breezy,ismira,398,https://ismira.breezy.hr/,"https://ismira.breezy.hr/json"
breezy,everstar,351,https://everstar.breezy.hr/,"https://everstar.breezy.hr/json"
breezy,leadzloco,350,https://leadzloco.breezy.hr/,"https://leadzloco.breezy.hr/json"
breezy,h-s-loss-control-inspections-in,344,https://h-s-loss-control-inspections-in.breezy.hr/,"https://h-s-loss-control-inspections-in.breezy.hr/json"
breezy,vanguard-ip,300,https://vanguard-ip.breezy.hr/,"https://vanguard-ip.breezy.hr/json"
breezy,surge,297,https://surge.breezy.hr/,"https://surge.breezy.hr/json"
breezy,focus-group-panel,295,https://focus-group-panel.breezy.hr/,"https://focus-group-panel.breezy.hr/json"
breezy,bobcat-transport,292,https://bobcat-transport.breezy.hr/,"https://bobcat-transport.breezy.hr/json"
breezy,4th-day-trucking,290,https://4th-day-trucking.breezy.hr/,"https://4th-day-trucking.breezy.hr/json"
breezy,delan-associates-inc,284,https://delan-associates-inc.breezy.hr/,"https://delan-associates-inc.breezy.hr/json"
breezy,tpaction,276,https://tpaction.breezy.hr/,"https://tpaction.breezy.hr/json"
breezy,family-resource-home-care,269,https://family-resource-home-care.breezy.hr/,"https://family-resource-home-care.breezy.hr/json"
breezy,salesdraft-recruiting,268,https://salesdraft-recruiting.breezy.hr/,"https://salesdraft-recruiting.breezy.hr/json"
breezy,prep-academy-tutors,266,https://prep-academy-tutors.breezy.hr/,"https://prep-academy-tutors.breezy.hr/json"
breezy,recruiting,257,https://recruiting.breezy.hr/,"https://recruiting.breezy.hr/json"
breezy,american-transport-team,256,https://american-transport-team.breezy.hr/,"https://american-transport-team.breezy.hr/json"
breezy,turner-mining-group,248,https://turner-mining-group.breezy.hr/,"https://turner-mining-group.breezy.hr/json"
breezy,drhouse-inc,238,https://drhouse-inc.breezy.hr/,"https://drhouse-inc.breezy.hr/json"
breezy,10-4-truck-recruiting,237,https://10-4-truck-recruiting.breezy.hr/,"https://10-4-truck-recruiting.breezy.hr/json"
breezy,ensemble-performing-arts,230,https://ensemble-performing-arts.breezy.hr/,"https://ensemble-performing-arts.breezy.hr/json"
breezy,nationsbenefits,230,https://nationsbenefits.breezy.hr/,"https://nationsbenefits.breezy.hr/json"
breezy,caring,228,https://caring.breezy.hr/,"https://caring.breezy.hr/json"
breezy,tenor-health-foundation,214,https://tenor-health-foundation.breezy.hr/,"https://tenor-health-foundation.breezy.hr/json"
breezy,alabaster-city-schools,205,https://alabaster-city-schools.breezy.hr/,"https://alabaster-city-schools.breezy.hr/json"
breezy,mktg,203,https://mktg.breezy.hr/,"https://mktg.breezy.hr/json"
breezy,chess-wizards,199,https://chess-wizards.breezy.hr/,"https://chess-wizards.breezy.hr/json"
breezy,a-hiringgroup,198,https://a-hiringgroup.breezy.hr/,"https://a-hiringgroup.breezy.hr/json"
breezy,reiss,197,https://reiss.breezy.hr/,"https://reiss.breezy.hr/json"
breezy,gold-care-homes,193,https://gold-care-homes.breezy.hr/,"https://gold-care-homes.breezy.hr/json"
breezy,gastro-health,192,https://gastro-health.breezy.hr/,"https://gastro-health.breezy.hr/json"
breezy,kmg-prestige,191,https://kmg-prestige.breezy.hr/,"https://kmg-prestige.breezy.hr/json"
breezy,comprehensive-rehab-consultants,189,https://comprehensive-rehab-consultants.breezy.hr/,"https://comprehensive-rehab-consultants.breezy.hr/json"
breezy,salmonjobs,189,https://salmonjobs.breezy.hr/,"https://salmonjobs.breezy.hr/json"
breezy,mtm-llc,185,https://mtm-llc.breezy.hr/,"https://mtm-llc.breezy.hr/json"
breezy,everlight-solar,173,https://everlight-solar.breezy.hr/,"https://everlight-solar.breezy.hr/json"
breezy,terrestris-global-solutions,173,https://terrestris-global-solutions.breezy.hr/,"https://terrestris-global-solutions.breezy.hr/json"
breezy,all-financial-freedom,167,https://all-financial-freedom.breezy.hr/,"https://all-financial-freedom.breezy.hr/json"
breezy,asb-freight-co,161,https://asb-freight-co.breezy.hr/,"https://asb-freight-co.breezy.hr/json"
breezy,staffmill-oy,157,https://staffmill-oy.breezy.hr/,"https://staffmill-oy.breezy.hr/json"
breezy,small-potato-trucking,149,https://small-potato-trucking.breezy.hr/,"https://small-potato-trucking.breezy.hr/json"
breezy,blue-sky-hospitality-solutions,148,https://blue-sky-hospitality-solutions.breezy.hr/,"https://blue-sky-hospitality-solutions.breezy.hr/json"
breezy,community-dental-partners,145,https://community-dental-partners.breezy.hr/,"https://community-dental-partners.breezy.hr/json"
breezy,c2-gps-dba-workforce-solutions-of-the-coastal-bend,139,https://c2-gps-dba-workforce-solutions-of-the-coastal-bend.breezy.hr/,"https://c2-gps-dba-workforce-solutions-of-the-coastal-bend.breezy.hr/json"
breezy,national-assemblers-inc,139,https://national-assemblers-inc.breezy.hr/,"https://national-assemblers-inc.breezy.hr/json"
breezy,trueline,129,https://trueline.breezy.hr/,"https://trueline.breezy.hr/json"
breezy,black-mcdonald-limited,126,https://black-mcdonald-limited.breezy.hr/,"https://black-mcdonald-limited.breezy.hr/json"
breezy,bitdeer,124,https://bitdeer.breezy.hr/,"https://bitdeer.breezy.hr/json"
breezy,innovativ-pharma-inc,116,https://innovativ-pharma-inc.breezy.hr/,"https://innovativ-pharma-inc.breezy.hr/json"
breezy,seeknow,116,https://seeknow.breezy.hr/,"https://seeknow.breezy.hr/json"
breezy,yiyienglish,104,https://yiyienglish.breezy.hr/,"https://yiyienglish.breezy.hr/json"
breezy,merchandising-consultants-associates,101,https://merchandising-consultants-associates.breezy.hr/,"https://merchandising-consultants-associates.breezy.hr/json"
breezy,next-generation-inc,101,https://next-generation-inc.breezy.hr/,"https://next-generation-inc.breezy.hr/json"
breezy,accentit,100,https://accentit.breezy.hr/,"https://accentit.breezy.hr/json"
breezy,landmark-hospitality,99,https://landmark-hospitality.breezy.hr/,"https://landmark-hospitality.breezy.hr/json"
breezy,seven-retail,99,https://seven-retail.breezy.hr/,"https://seven-retail.breezy.hr/json"
breezy,talentmovers,99,https://talentmovers.breezy.hr/,"https://talentmovers.breezy.hr/json"
breezy,truck-driver-nation,99,https://truck-driver-nation.breezy.hr/,"https://truck-driver-nation.breezy.hr/json"
breezy,absolute-pets,93,https://absolute-pets.breezy.hr/,"https://absolute-pets.breezy.hr/json"
breezy,j-rose-enterprises-llc,93,https://j-rose-enterprises-llc.breezy.hr/,"https://j-rose-enterprises-llc.breezy.hr/json"
breezy,20four7va,91,https://20four7va.breezy.hr/,"https://20four7va.breezy.hr/json"
breezy,skilled-trades-partners,91,https://skilled-trades-partners.breezy.hr/,"https://skilled-trades-partners.breezy.hr/json"
breezy,ymca-of-central-texas,91,https://ymca-of-central-texas.breezy.hr/,"https://ymca-of-central-texas.breezy.hr/json"
breezy,meron-financial-agency,90,https://meron-financial-agency.breezy.hr/,"https://meron-financial-agency.breezy.hr/json"
breezy,salt-city-trucking,90,https://salt-city-trucking.breezy.hr/,"https://salt-city-trucking.breezy.hr/json"
breezy,barnhart-crane-rigging,89,https://barnhart-crane-rigging.breezy.hr/,"https://barnhart-crane-rigging.breezy.hr/json"
breezy,doorstead,89,https://doorstead.breezy.hr/,"https://doorstead.breezy.hr/json"
breezy,vosyn,89,https://vosyn.breezy.hr/,"https://vosyn.breezy.hr/json"
breezy,wongnai-media-co-ltd,87,https://wongnai-media-co-ltd.breezy.hr/,"https://wongnai-media-co-ltd.breezy.hr/json"
breezy,zantech-it,87,https://zantech-it.breezy.hr/,"https://zantech-it.breezy.hr/json"
breezy,zifty,87,https://zifty.breezy.hr/,"https://zifty.breezy.hr/json"
breezy,oil-changers,86,https://oil-changers.breezy.hr/,"https://oil-changers.breezy.hr/json"
breezy,divadance,83,https://divadance.breezy.hr/,"https://divadance.breezy.hr/json"
breezy,gen-tech,83,https://gen-tech.breezy.hr/,"https://gen-tech.breezy.hr/json"
breezy,kredivo-group,83,https://kredivo-group.breezy.hr/,"https://kredivo-group.breezy.hr/json"
breezy,marshall-dennehey,81,https://marshall-dennehey.breezy.hr/,"https://marshall-dennehey.breezy.hr/json"
breezy,microhabitat,81,https://microhabitat.breezy.hr/,"https://microhabitat.breezy.hr/json"
breezy,psyphycare-7d99d547f19b,81,https://psyphycare-7d99d547f19b.breezy.hr/,"https://psyphycare-7d99d547f19b.breezy.hr/json"
breezy,hospitality-health-er,80,https://hospitality-health-er.breezy.hr/,"https://hospitality-health-er.breezy.hr/json"
breezy,reliantinternships,80,https://reliantinternships.breezy.hr/,"https://reliantinternships.breezy.hr/json"
breezy,udem,79,https://udem.breezy.hr/,"https://udem.breezy.hr/json"
breezy,learn-corporation,77,https://learn-corporation.breezy.hr/,"https://learn-corporation.breezy.hr/json"
breezy,coeur-d-alene-resort,76,https://coeur-d-alene-resort.breezy.hr/,"https://coeur-d-alene-resort.breezy.hr/json"
breezy,velomedi,76,https://velomedi.breezy.hr/,"https://velomedi.breezy.hr/json"
breezy,brandttractor,73,https://brandttractor.breezy.hr/,"https://brandttractor.breezy.hr/json"
breezy,goodcents,72,https://goodcents.breezy.hr/,"https://goodcents.breezy.hr/json"
breezy,tigo,72,https://tigo.breezy.hr/,"https://tigo.breezy.hr/json"
breezy,embraer,71,https://embraer.breezy.hr/,"https://embraer.breezy.hr/json"
breezy,lumio-dental-practice-locations,71,https://lumio-dental-practice-locations.breezy.hr/,"https://lumio-dental-practice-locations.breezy.hr/json"
breezy,uvation,71,https://uvation.breezy.hr/,"https://uvation.breezy.hr/json"
breezy,thrive-by-5,70,https://thrive-by-5.breezy.hr/,"https://thrive-by-5.breezy.hr/json"
breezy,highlights-healthcare,67,https://highlights-healthcare.breezy.hr/,"https://highlights-healthcare.breezy.hr/json"
breezy,north-wind-group,67,https://north-wind-group.breezy.hr/,"https://north-wind-group.breezy.hr/json"
breezy,sourcefit,67,https://sourcefit.breezy.hr/,"https://sourcefit.breezy.hr/json"
breezy,betclic-group,66,https://betclic-group.breezy.hr/,"https://betclic-group.breezy.hr/json"
breezy,herotel-5f74feffb7e1,66,https://herotel-5f74feffb7e1.breezy.hr/,"https://herotel-5f74feffb7e1.breezy.hr/json"
breezy,solidum-sverige-ab,66,https://solidum-sverige-ab.breezy.hr/,"https://solidum-sverige-ab.breezy.hr/json"
breezy,wealthy-recruiting,66,https://wealthy-recruiting.breezy.hr/,"https://wealthy-recruiting.breezy.hr/json"
breezy,zameen,66,https://zameen.breezy.hr/,"https://zameen.breezy.hr/json"
breezy,casm-limitlessli,64,https://casm-limitlessli.breezy.hr/,"https://casm-limitlessli.breezy.hr/json"
breezy,children-s-dental-funzone,64,https://children-s-dental-funzone.breezy.hr/,"https://children-s-dental-funzone.breezy.hr/json"
breezy,marex,64,https://marex.breezy.hr/,"https://marex.breezy.hr/json"
breezy,national-mortgage-field-services,64,https://national-mortgage-field-services.breezy.hr/,"https://national-mortgage-field-services.breezy.hr/json"
breezy,abc-imaging,63,https://abc-imaging.breezy.hr/,"https://abc-imaging.breezy.hr/json"
breezy,inallmedia-llc,63,https://inallmedia-llc.breezy.hr/,"https://inallmedia-llc.breezy.hr/json"
breezy,westphalia-holdings,63,https://westphalia-holdings.breezy.hr/,"https://westphalia-holdings.breezy.hr/json"
breezy,lestars-management-consultancy-l-l-c,62,https://lestars-management-consultancy-l-l-c.breezy.hr/,"https://lestars-management-consultancy-l-l-c.breezy.hr/json"
breezy,orange-talent-group,62,https://orange-talent-group.breezy.hr/,"https://orange-talent-group.breezy.hr/json"
breezy,lindt-sprunglicanada,61,https://lindt-sprunglicanada.breezy.hr/,"https://lindt-sprunglicanada.breezy.hr/json"
breezy,spark-power,61,https://spark-power.breezy.hr/,"https://spark-power.breezy.hr/json"
breezy,thoroughbred-express,60,https://thoroughbred-express.breezy.hr/,"https://thoroughbred-express.breezy.hr/json"
breezy,vald,60,https://vald.breezy.hr/,"https://vald.breezy.hr/json"
breezy,pop-mart-americas-inc,59,https://pop-mart-americas-inc.breezy.hr/,"https://pop-mart-americas-inc.breezy.hr/json"
breezy,il-gabbiano-societa-cooperativa-sociale-onlus,57,https://il-gabbiano-societa-cooperativa-sociale-onlus.breezy.hr/,"https://il-gabbiano-societa-cooperativa-sociale-onlus.breezy.hr/json"
breezy,shake-smart-inc,57,https://shake-smart-inc.breezy.hr/,"https://shake-smart-inc.breezy.hr/json"
breezy,avanceon,56,https://avanceon.breezy.hr/,"https://avanceon.breezy.hr/json"
breezy,sideworxconnect,56,https://sideworxconnect.breezy.hr/,"https://sideworxconnect.breezy.hr/json"
breezy,vanguard-college-prep,56,https://vanguard-college-prep.breezy.hr/,"https://vanguard-college-prep.breezy.hr/json"
breezy,iix-global,55,https://iix-global.breezy.hr/,"https://iix-global.breezy.hr/json"
breezy,international-automotive-components,55,https://international-automotive-components.breezy.hr/,"https://international-automotive-components.breezy.hr/json"
breezy,lumio-dental,55,https://lumio-dental.breezy.hr/,"https://lumio-dental.breezy.hr/json"
breezy,atlanta-cycling,54,https://atlanta-cycling.breezy.hr/,"https://atlanta-cycling.breezy.hr/json"
breezy,independence-excavating,53,https://independence-excavating.breezy.hr/,"https://independence-excavating.breezy.hr/json"
breezy,prolift-rigging,53,https://prolift-rigging.breezy.hr/,"https://prolift-rigging.breezy.hr/json"
breezy,sideworx-connect-usa,53,https://sideworx-connect-usa.breezy.hr/,"https://sideworx-connect-usa.breezy.hr/json"
breezy,snappycx,52,https://snappycx.breezy.hr/,"https://snappycx.breezy.hr/json"
breezy,vetsez,52,https://vetsez.breezy.hr/,"https://vetsez.breezy.hr/json"
breezy,bear-robotics,51,https://bear-robotics.breezy.hr/,"https://bear-robotics.breezy.hr/json"
breezy,oreganos,51,https://oreganos.breezy.hr/,"https://oreganos.breezy.hr/json"
breezy,bellows,50,https://bellows.breezy.hr/,"https://bellows.breezy.hr/json"
breezy,urrly,50,https://urrly.breezy.hr/,"https://urrly.breezy.hr/json"
breezy,activate-group-limited,49,https://activate-group-limited.breezy.hr/,"https://activate-group-limited.breezy.hr/json"
breezy,big-fat-smile-group-ltd,49,https://big-fat-smile-group-ltd.breezy.hr/,"https://big-fat-smile-group-ltd.breezy.hr/json"
breezy,cronoseuropa,49,https://cronoseuropa.breezy.hr/,"https://cronoseuropa.breezy.hr/json"
breezy,golfnorth-properties-inc,49,https://golfnorth-properties-inc.breezy.hr/,"https://golfnorth-properties-inc.breezy.hr/json"
breezy,ats-automation,48,https://ats-automation.breezy.hr/,"https://ats-automation.breezy.hr/json"
breezy,boxtro,48,https://boxtro.breezy.hr/,"https://boxtro.breezy.hr/json"
breezy,crafted-staff,48,https://crafted-staff.breezy.hr/,"https://crafted-staff.breezy.hr/json"
breezy,faac-group,48,https://faac-group.breezy.hr/,"https://faac-group.breezy.hr/json"
breezy,incubeta-global,48,https://incubeta-global.breezy.hr/,"https://incubeta-global.breezy.hr/json"
breezy,positive-impact-dental-alliance,48,https://positive-impact-dental-alliance.breezy.hr/,"https://positive-impact-dental-alliance.breezy.hr/json"
breezy,seventh-dimension,48,https://seventh-dimension.breezy.hr/,"https://seventh-dimension.breezy.hr/json"
breezy,social-discovery-ventures,48,https://social-discovery-ventures.breezy.hr/,"https://social-discovery-ventures.breezy.hr/json"
breezy,a-core-concrete-specialists,47,https://a-core-concrete-specialists.breezy.hr/,"https://a-core-concrete-specialists.breezy.hr/json"
breezy,excellent-recruitment,47,https://excellent-recruitment.breezy.hr/,"https://excellent-recruitment.breezy.hr/json"
breezy,helpware-inc,47,https://helpware-inc.breezy.hr/,"https://helpware-inc.breezy.hr/json"
breezy,the-pros-weddings,47,https://the-pros-weddings.breezy.hr/,"https://the-pros-weddings.breezy.hr/json"
breezy,elevation-church,46,https://elevation-church.breezy.hr/,"https://elevation-church.breezy.hr/json"
breezy,hamilton-recruitment,46,https://hamilton-recruitment.breezy.hr/,"https://hamilton-recruitment.breezy.hr/json"
breezy,logan-a-c-heat-services-b29ac6f9712d,46,https://logan-a-c-heat-services-b29ac6f9712d.breezy.hr/,"https://logan-a-c-heat-services-b29ac6f9712d.breezy.hr/json"
breezy,yay-lunch,46,https://yay-lunch.breezy.hr/,"https://yay-lunch.breezy.hr/json"
breezy,commerzbank-poland,45,https://commerzbank-poland.breezy.hr/,"https://commerzbank-poland.breezy.hr/json"
breezy,direct-to-locums,45,https://direct-to-locums.breezy.hr/,"https://direct-to-locums.breezy.hr/json"
breezy,ehvert-engineering-inc,45,https://ehvert-engineering-inc.breezy.hr/,"https://ehvert-engineering-inc.breezy.hr/json"
breezy,elite-amenity-management,45,https://elite-amenity-management.breezy.hr/,"https://elite-amenity-management.breezy.hr/json"
breezy,jnd-inc,45,https://jnd-inc.breezy.hr/,"https://jnd-inc.breezy.hr/json"
breezy,independent-food-company,44,https://independent-food-company.breezy.hr/,"https://independent-food-company.breezy.hr/json"
breezy,maidthis,44,https://maidthis.breezy.hr/,"https://maidthis.breezy.hr/json"
breezy,atlas-technica,43,https://atlas-technica.breezy.hr/,"https://atlas-technica.breezy.hr/json"
breezy,concurrent-technologies-corporation,43,https://concurrent-technologies-corporation.breezy.hr/,"https://concurrent-technologies-corporation.breezy.hr/json"
breezy,jmi-reports,43,https://jmi-reports.breezy.hr/,"https://jmi-reports.breezy.hr/json"
breezy,sd-solutions,43,https://sd-solutions.breezy.hr/,"https://sd-solutions.breezy.hr/json"
breezy,themis-insight,42,https://themis-insight.breezy.hr/,"https://themis-insight.breezy.hr/json"
breezy,matrix-technologies-inc,41,https://matrix-technologies-inc.breezy.hr/,"https://matrix-technologies-inc.breezy.hr/json"
breezy,practice-positions,41,https://practice-positions.breezy.hr/,"https://practice-positions.breezy.hr/json"
breezy,reliant-collegiate-program,41,https://reliant-collegiate-program.breezy.hr/,"https://reliant-collegiate-program.breezy.hr/json"
breezy,terzo-enterprises,41,https://terzo-enterprises.breezy.hr/,"https://terzo-enterprises.breezy.hr/json"
breezy,the-wisdom-teeth-guys,41,https://the-wisdom-teeth-guys.breezy.hr/,"https://the-wisdom-teeth-guys.breezy.hr/json"
breezy,competitive-range-solutions-llc,39,https://competitive-range-solutions-llc.breezy.hr/,"https://competitive-range-solutions-llc.breezy.hr/json"
breezy,harris-jones-staffing-recruiting-llc,39,https://harris-jones-staffing-recruiting-llc.breezy.hr/,"https://harris-jones-staffing-recruiting-llc.breezy.hr/json"
breezy,nuspine-chiropractic,39,https://nuspine-chiropractic.breezy.hr/,"https://nuspine-chiropractic.breezy.hr/json"
breezy,navaide,38,https://navaide.breezy.hr/,"https://navaide.breezy.hr/json"
