provider,token,titles_read,recruitment_ads,volunteer_unpaid,not_jobs,not_jobs_share,stratum
lever,globalelitecareers,1752,1380,0,1380,78.8,head
greenhouse,cfoinsights,373,0,112,112,30,head
greenhouse,unitedmedia,367,0,102,102,27.8,head
greenhouse,hrtechx,287,0,29,29,10.1,head
greenhouse,privateequityinsights,1159,0,113,113,9.7,head
lever,destinationknot,421,31,0,31,7.4,head
greenhouse,setsales,278,0,19,19,6.8,head
greenhouse,retailinsights,281,0,19,19,6.8,head
greenhouse,bayada,2577,0,50,50,1.9,head
greenhouse,wundermanthompson,592,0,1,1,0.2,head
greenhouse,centriaautism,1189,0,0,0,0,head
greenhouse,urpt,1215,0,0,0,0,head
ashby,harvey,334,0,0,0,0,head
greenhouse,eosfitness,2689,0,0,0,0,head
ashby,clera,284,0,0,0,0,head
greenhouse,prolificacademicltd,3706,0,0,0,0,head
greenhouse,spacex,2281,0,0,0,0,head
ashby,alpacahealth,403,0,0,0,0,head
greenhouse,carvana,1754,0,0,0,0,head
greenhouse,svetness,4981,0,0,0,0,head
greenhouse,speechify,1317,0,0,0,0,head
ashby,renuity,456,0,0,0,0,head
greenhouse,veterinaryemergencygroupst,1130,0,0,0,0,head
ashby,applied,278,0,0,0,0,head
greenhouse,aloyoga,1108,0,0,0,0,head
greenhouse,wppmedia,1073,0,0,0,0,head
greenhouse,blueskytelepsych,945,0,0,0,0,head
greenhouse,equipmentsharecom,967,0,0,0,0,head
ashby,airapps,498,0,0,0,0,head
ashby,legora,277,0,0,0,0,head
ashby,lilt-production,400,0,0,0,0,head
ashby,fluidstack,262,0,0,0,0,head
ashby,snowflake,379,0,0,0,0,head
ashby,fira-health,260,0,0,0,0,head
ashby,crusoe,381,0,0,0,0,head
greenhouse,databricks,859,0,0,0,0,head
greenhouse,agency,821,0,0,0,0,head
ashby,airwallex,583,0,0,0,0,head
ashby,elevenlabs,255,0,0,0,0,head
greenhouse,liquidpersonnel,1586,0,0,0,0,head
greenhouse,plscareers,786,0,0,0,0,head
ashby,openai,770,0,0,0,0,head
greenhouse,coupang,682,0,0,0,0,head
ashby,anyone-ai,209,0,0,0,0,head
ashby,deliveroo,190,0,0,0,0,head
ashby,sierra,210,0,0,0,0,head
greenhouse,housebuyersofamerica,636,0,0,0,0,head
ashby,saronic,194,0,0,0,0,head
greenhouse,pulse,2649,0,0,0,0,head
greenhouse,michelscorporation,650,0,0,0,0,head
greenhouse,ouihelp,697,0,0,0,0,head
greenhouse,herewithgmbh,605,0,0,0,0,head
ashby,leland,188,0,0,0,0,head
ashby,halter,235,0,0,0,0,head
ashby,talkiatry,181,0,0,0,0,head
ashby,base-power,176,0,0,0,0,head
ashby,formenergy,179,0,0,0,0,head
greenhouse,stripe,592,0,0,0,0,head
ashby,bjakcareer,3084,0,0,0,0,head
greenhouse,accenturefederalservices,642,0,0,0,0,head
greenhouse,anthropic,582,0,0,0,0,head
greenhouse,feverup,592,0,0,0,0,head
ashby,iceye,187,0,0,0,0,head
ashby,harmattan-ai,171,0,0,0,0,head
ashby,clickhouse,177,0,0,0,0,head
ashby,checkout.com,167,0,0,0,0,head
ashby,allarahealth,174,0,0,0,0,head
ashby,mistral.ai,172,0,0,0,0,head
ashby,lightspeedhq,165,0,0,0,0,head
greenhouse,axon,516,0,0,0,0,head
greenhouse,medelitellc,511,0,0,0,0,head
greenhouse,geniussportssn,477,0,0,0,0,head
greenhouse,coupanginternal,448,0,0,0,0,head
greenhouse,doordashusa,462,0,0,0,0,head
greenhouse,ecpcareers,472,0,0,0,0,head
greenhouse,westernveterinarypartnersllc,476,0,0,0,0,head
greenhouse,rocketlab,452,0,0,0,0,head
greenhouse,asm,444,0,0,0,0,head
greenhouse,datadog,443,0,0,0,0,head
greenhouse,esri,441,0,0,0,0,head
greenhouse,morganmorganjobsapplynow,437,0,0,0,0,head
greenhouse,hellofresh,434,0,0,0,0,head
greenhouse,olsson,427,0,0,0,0,head
greenhouse,stone,428,0,0,0,0,head
greenhouse,horacemannagents,417,0,0,0,0,head
greenhouse,infuse,411,0,0,0,0,head
greenhouse,dhpace,413,0,0,0,0,head
greenhouse,sohohouseco,413,0,0,0,0,head
greenhouse,luminishealth,423,0,0,0,0,head
greenhouse,thesciongroupllc,387,0,0,0,0,head
greenhouse,vitalcaringgroup,403,0,0,0,0,head
greenhouse,monks,358,0,0,0,0,head
greenhouse,zscaler,354,0,0,0,0,head
greenhouse,sumup,410,0,0,0,0,head
greenhouse,elastic,361,0,0,0,0,head
greenhouse,nebius,370,0,0,0,0,head
greenhouse,mongodb,402,0,0,0,0,head
greenhouse,relativity,342,0,0,0,0,head
greenhouse,waymo,345,0,0,0,0,head
greenhouse,lucidmotors,333,0,0,0,0,head
greenhouse,flyzipline,334,0,0,0,0,head
greenhouse,cloudflare,322,0,0,0,0,head
greenhouse,toast,308,0,0,0,0,head
greenhouse,okx,336,0,0,0,0,head
greenhouse,powerdigitalmarketing,305,0,0,0,0,head
greenhouse,onemedical,310,0,0,0,0,head
lever,boxlunch,3653,0,0,0,0,head
greenhouse,diginnother,302,0,0,0,0,head
greenhouse,convenientmd,303,0,0,0,0,head
greenhouse,canonical,302,0,0,0,0,head
greenhouse,purestorage,323,0,0,0,0,head
greenhouse,teampicnic,297,0,0,0,0,head
greenhouse,avepoint,302,0,0,0,0,head
greenhouse,loenbro,296,0,0,0,0,head
greenhouse,tegnainc,303,0,0,0,0,head
greenhouse,onrunning,303,0,0,0,0,head
greenhouse,agoda,291,0,0,0,0,head
greenhouse,verkada,291,0,0,0,0,head
greenhouse,veterinarypracticepartners,290,0,0,0,0,head
greenhouse,braze,289,0,0,0,0,head
greenhouse,brex,279,0,0,0,0,head
greenhouse,celonis,270,0,0,0,0,head
greenhouse,coreweave,275,0,0,0,0,head
greenhouse,revolutionmedicines,267,0,0,0,0,head
greenhouse,stonepatrocina,275,0,0,0,0,head
greenhouse,cssmerge,258,0,0,0,0,head
greenhouse,oscar,266,0,0,0,0,head
greenhouse,wolt,255,0,0,0,0,head
greenhouse,xai,253,0,0,0,0,head
greenhouse,nscaleoperationsukltd,248,0,0,0,0,head
greenhouse,roku,248,0,0,0,0,head
greenhouse,mineralystherapeutics,247,0,0,0,0,head
greenhouse,greenthumbindustries,247,0,0,0,0,head
greenhouse,samsara,245,0,0,0,0,head
greenhouse,curaleaf,242,0,0,0,0,head
greenhouse,point72,235,0,0,0,0,head
greenhouse,accelschools,237,0,0,0,0,head
greenhouse,scoutmotors,237,0,0,0,0,head
greenhouse,janestreet,234,0,0,0,0,head
greenhouse,gitlab,232,0,0,0,0,head
greenhouse,sharkninjaoperatingllc,229,0,0,0,0,head
greenhouse,astspacemobile,231,0,0,0,0,head
greenhouse,alphasense,228,0,0,0,0,head
greenhouse,fivetran,227,0,0,0,0,head
greenhouse,adyen,222,0,0,0,0,head
greenhouse,guidepostmontessori,222,0,0,0,0,head
greenhouse,roblox,224,0,0,0,0,head
greenhouse,examplecorpsandbox,220,0,0,0,0,head
greenhouse,sentinellabs,221,0,0,0,0,head
greenhouse,axiomtalentplatform,216,0,0,0,0,head
greenhouse,grvty,216,0,0,0,0,head
greenhouse,spektrum,215,0,0,0,0,head
greenhouse,k2spacecorporation,215,0,0,0,0,head
greenhouse,marksman,216,0,0,0,0,head
greenhouse,jdsports,213,0,0,0,0,head
greenhouse,scaleai,211,0,0,0,0,head
greenhouse,urbancompass,214,0,0,0,0,head
greenhouse,dept,212,0,0,0,0,head
greenhouse,formlabs,210,0,0,0,0,head
greenhouse,langanengineeringandenvironmentalservicesllc,411,0,0,0,0,head
greenhouse,mediabrands,210,0,0,0,0,head
greenhouse,natera,212,0,0,0,0,head
greenhouse,remotecom,210,0,0,0,0,head
greenhouse,encora10,204,0,0,0,0,head
