provider,token,titles_read,engineering,engineering_share,stratum
ashby,bjakcareer,3084,1356,44.0,head
greenhouse,speechify,1317,1206,91.6,head
greenhouse,andurilindustries,2208,1007,45.6,head
greenhouse,spacex,2281,829,36.3,head
greenhouse,databricks,859,536,62.4,head
lever,bluelightconsulting,513,511,99.6,head
ashby,openai,770,340,44.2,head
greenhouse,accenturefederalservices,642,315,49.1,head
lever,shieldai,433,266,61.4,head
lever,cgsfederal,1427,264,18.5,head
greenhouse,anthropic,582,224,38.5,head
greenhouse,asm,444,221,49.8,head
ashby,airapps,498,216,43.4,head
lever,palantir,307,205,66.8,head
ashby,applied,278,196,70.5,head
greenhouse,waymo,345,196,56.8,head
greenhouse,coupang,682,188,27.6,head
greenhouse,esri,441,187,42.4,head
greenhouse,rocketlab,452,185,40.9,head
greenhouse,stripe,592,182,30.7,head
ashby,snowflake,379,178,47.0,head
greenhouse,axon,516,173,33.5,head
greenhouse,mongodb,402,172,42.8,head
greenhouse,okta,328,172,52.4,head
greenhouse,elastic,361,165,45.7,head
ashby,airwallex,583,163,28.0,head
ashby,clera,284,160,56.3,head
greenhouse,roblox,224,158,70.5,head
greenhouse,capco,754,155,20.6,head
greenhouse,roku,248,154,62.1,head
lever,ciandt,202,154,76.2,head
greenhouse,cloudflare,322,152,47.2,head
greenhouse,canonical,302,151,50.0,head
greenhouse,nebius,370,148,40.0,head
greenhouse,relativity,342,145,42.4,head
greenhouse,purestorage,323,130,40.2,head
greenhouse,encora10,204,129,63.2,head
greenhouse,graphcore,188,129,68.6,head
greenhouse,avepoint,302,128,42.4,head
greenhouse,affirm,203,128,63.1,head
greenhouse,sentinellabs,221,125,56.6,head
greenhouse,ubiquiti,172,125,72.7,head
greenhouse,quberesearchandtechnologies,195,124,63.6,head
greenhouse,coreweave,275,120,43.6,head
ashby,crusoe,381,118,31.0,head
ashby,clickhouse,177,118,66.7,head
greenhouse,gitlab,232,113,48.7,head
greenhouse,janestreet,234,111,47.4,head
greenhouse,grvty,216,111,51.4,head
greenhouse,okx,336,109,32.4,head
greenhouse,scaleai,211,106,50.2,head
greenhouse,sonyinteractiveentertainmentglobal,197,103,52.3,head
greenhouse,sezzle,193,102,52.8,head
greenhouse,trueanomalyinc,182,102,56.0,head
greenhouse,coupanginternal,448,101,22.5,head
greenhouse,datadog,443,100,22.6,head
greenhouse,flyzipline,334,99,29.6,head
greenhouse,k2spacecorporation,215,97,45.1,head
greenhouse,celonis,270,94,34.8,head
ashby,harvey,334,93,27.8,head
greenhouse,fivetran,227,92,40.5,head
greenhouse,holderconstruction,367,92,25.1,head
greenhouse,altentechnologyusa,193,92,47.7,head
ashby,harmattan-ai,171,90,52.6,head
greenhouse,verkada,291,89,30.6,head
lever,binance,283,89,31.4,head
greenhouse,pinterest,199,88,44.2,head
ashby,iceye,187,84,44.9,head
greenhouse,point72,235,84,35.7,head
greenhouse,astspacemobile,231,83,35.9,head
greenhouse,doordashusa,462,82,17.7,head
greenhouse,brex,279,82,29.4,head
greenhouse,veeamsoftware,234,81,34.6,head
greenhouse,coinbase,187,80,42.8,head
greenhouse,optiverus,166,78,47.0,head
ashby,fluidstack,262,76,29.0,head
greenhouse,olsson,427,74,17.3,head
greenhouse,zscaler,354,74,20.9,head
greenhouse,adyen,222,74,33.3,head
greenhouse,cssmerge,258,71,27.5,head
greenhouse,spektrum,215,71,33.0,head
greenhouse,nscaleoperationsukltd,248,69,27.8,head
greenhouse,lyft,167,69,41.3,head
greenhouse,xai,253,68,26.9,head
ashby,mistral.ai,172,66,38.4,head
greenhouse,vast,191,66,34.6,head
greenhouse,imc,176,66,37.5,head
greenhouse,riotgames,162,66,40.7,tail
greenhouse,urbancompass,214,65,30.4,head
greenhouse,super,191,65,34.0,head
ashby,42dot,109,65,59.6,tail
greenhouse,xometry,168,64,38.1,head
greenhouse,braze,289,63,21.8,head
greenhouse,scoutmotors,237,61,25.7,head
greenhouse,ebury,172,58,33.7,head
ashby,saronic,194,57,29.4,head
ashby,sierra,210,56,26.7,head
ashby,elevenlabs,255,55,21.6,head
ashby,anyone-ai,209,55,26.3,head
greenhouse,samsara,245,55,22.4,head
greenhouse,nice,183,54,29.5,head
greenhouse,alphasense,228,53,23.2,head
greenhouse,agoda,291,52,17.9,head
greenhouse,hellofresh,434,50,11.5,head
greenhouse,toast,308,50,16.2,head
lever,ajax,197,49,24.9,head
greenhouse,sumup,410,48,11.7,head
greenhouse,airbnb,171,48,28.1,head
greenhouse,boxinc,147,48,32.7,tail
greenhouse,block,199,47,23.6,head
ashby,formenergy,179,46,25.7,head
lever,latitudeinc,314,46,14.6,head
greenhouse,feverup,592,45,7.6,head
lever,sfeir,52,45,86.5,tail
greenhouse,wundermanthompson,592,44,7.4,head
greenhouse,thetradedesk,177,44,24.9,head
lever,synergyecp,46,43,93.5,tail
greenhouse,monks,358,42,11.7,head
greenhouse,icapitalnetwork,212,41,19.3,head
greenhouse,formlabs,210,40,19.0,head
ashby,checkout.com,167,39,23.4,head
greenhouse,scopely,175,39,22.3,head
ashby,legora,277,38,13.7,head
greenhouse,orioninnovation,74,35,47.3,tail
ashby,deliveroo,190,34,17.9,head
greenhouse,lucidmotors,333,34,10.2,head
greenhouse,dept,212,34,16.0,head
ashby,illumio,68,34,50.0,tail
greenhouse,thenewyorktimes,169,33,19.5,head
ashby,halter,235,32,13.6,head
greenhouse,tide,86,32,37.2,tail
lever,ion,69,32,46.4,tail
greenhouse,wpp,209,31,14.8,head
greenhouse,michelscorporation,650,29,4.5,head
greenhouse,oscar,266,29,10.9,head
greenhouse,appian,162,29,17.9,head
greenhouse,wppmedia,1073,27,2.5,head
greenhouse,sharkninjaoperatingllc,229,27,11.8,head
greenhouse,natera,212,27,12.7,head
lever,ispace-inc,54,27,50.0,tail
ashby,base-power,176,26,14.8,head
greenhouse,hasbro,162,25,15.4,head
greenhouse,flexport,171,24,14.0,head
greenhouse,clara,117,24,20.5,tail
lever,tkda,61,24,39.3,tail
greenhouse,prolificacademicltd,3706,22,0.6,head
greenhouse,infuse,411,22,5.4,head
greenhouse,examplecorpsandbox,220,22,10.0,head
lever,getwingapp,470,22,4.7,head
greenhouse,rubrik,134,22,16.4,tail
greenhouse,oklo,63,22,34.9,tail
greenhouse,aloyoga,1108,21,1.9,head
greenhouse,langanengineeringandenvironmentalservicesllc,411,21,5.1,head
greenhouse,wolt,255,20,7.8,head
greenhouse,platacard,202,20,9.9,head
greenhouse,onrunning,303,19,6.3,head
lever,cscgeneration-2,465,19,4.1,head
ashby,neuralconcept,34,19,55.9,tail
greenhouse,c6bank,165,18,10.9,head
greenhouse,powerdigitalmarketing,305,17,5.6,head
greenhouse,tripactions,198,17,8.6,head
lever,lyrahealth,550,17,3.1,head
greenhouse,innodatainc,101,17,16.8,tail
greenhouse,tegnainc,303,16,5.3,head
greenhouse,connectionshealthsolutions,168,16,9.5,head
ashby,cogent-security,28,16,57.1,tail
greenhouse,amplitude,36,16,44.4,tail
lever,megaport,50,16,32.0,tail
greenhouse,stone,428,15,3.5,head
ashby,lightspeedhq,165,14,8.5,head
greenhouse,aegworldwide,182,14,7.7,head
lever,paytm,202,14,6.9,head
greenhouse,quantumspacellc,43,14,32.6,tail
lever,arcteryx.com,302,13,4.3,head
greenhouse,charlesriverassociates,77,13,16.9,tail
greenhouse,charliehealth,267,12,4.5,head
ashby,runway-ml,42,12,28.6,tail
greenhouse,terranorbitalcorporation,30,12,40.0,tail
greenhouse,datavant2,170,11,6.5,head
ashby,quindar,19,11,57.9,tail
greenhouse,oldcastlebuildingenvelope,179,10,5.6,head
greenhouse,crfamilyofcompanies,125,10,8.0,tail
greenhouse,yipitdatajobs,47,10,21.3,tail
ashby,st-labs,13,10,76.9,tail
greenhouse,thealleninstitute,21,10,47.6,tail
greenhouse,atwellgroup,178,9,5.1,head
greenhouse,alphafmcroles,81,9,11.1,tail
ashby,afterquery,33,9,27.3,tail
ashby,aureliussystems,18,9,50.0,tail
greenhouse,invisibletech,15,9,60.0,tail
greenhouse,ritual,15,9,60.0,tail
lever,safran-ai,29,9,31.0,tail
greenhouse,ennoblecare,202,8,4.0,head
lever,gorh,312,8,2.6,head
greenhouse,growe,20,8,40.0,tail
greenhouse,carvana,1754,7,0.4,head
ashby,lunar,14,7,50.0,tail
greenhouse,beaconbiosignals,21,7,33.3,tail
greenhouse,breezecash,17,7,41.2,tail
greenhouse,nitrosoftwareinc,18,7,38.9,tail
greenhouse,amplemarket,16,7,43.8,tail
lever,lochgroup,27,7,25.9,tail
lever,investorflow,14,7,50.0,tail
lever,sitetracker,13,7,53.8,tail
ashby,leland,188,6,3.2,head
greenhouse,teampicnic,297,6,2.0,head
greenhouse,xpinc,186,6,3.2,head
greenhouse,apexcompanies,180,6,3.3,head
greenhouse,lakefieldveterinarygroup,174,6,3.4,head
lever,penumbrainc,90,6,6.7,tail
ashby,wetravel,31,6,19.4,tail
ashby,insitro,16,6,37.5,tail
ashby,solveintelligence,15,6,40.0,tail
ashby,linkup,10,6,60.0,tail
ashby,extropic,8,6,75.0,tail
greenhouse,zafinlabsamericasinc,23,6,26.1,tail
lever,cloudinary,21,6,28.6,tail
greenhouse,equipmentsharecom,967,5,0.5,head
greenhouse,morganmorganjobsapplynow,437,5,1.1,head
greenhouse,loenbro,296,5,1.7,head
lever,gopuff,763,5,0.7,head
lever,sunsrce,264,5,1.9,head
ashby,orbital,22,5,22.7,tail
greenhouse,gigs,45,5,11.1,tail
ashby,wealth-com,18,5,27.8,tail
ashby,david-ai,13,5,38.5,tail
ashby,lapel,9,5,55.6,tail
ashby,replicant,7,5,71.4,tail
greenhouse,buildops,21,5,23.8,tail
ashby,space44,5,5,100.0,tail
greenhouse,riverai,12,5,41.7,tail
ashby,talkiatry,181,4,2.2,head
greenhouse,luminishealth,423,4,0.9,head
greenhouse,revolutionmedicines,267,4,1.5,head
ashby,amperos,19,4,21.1,tail
greenhouse,ensafeinc,38,4,10.5,tail
greenhouse,genezenlabs,27,4,14.8,tail
ashby,classdojo,12,4,33.3,tail
greenhouse,netcracker,26,4,15.4,tail
ashby,peek,11,4,36.4,tail
ashby,sazabi,8,4,50.0,tail
ashby,nuna,6,4,66.7,tail
greenhouse,sourcingcour,16,4,25.0,tail
greenhouse,scoutspace,13,4,30.8,tail
greenhouse,madisonlogicinc,11,4,36.4,tail
greenhouse,bioptimus8,10,4,40.0,tail
lever,bigblue,35,4,11.4,tail
lever,brindleyengineering,26,4,15.4,tail
ashby,alpacahealth,403,3,0.7,head
greenhouse,curaleaf,242,3,1.2,head
greenhouse,mediabrands,210,3,1.4,head
